f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26
111.0684139	101.9979886	8	2	1	0.333333333	5.378121547	2.52343859	1.10336463	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	35.25
111.1047994	98.003074	8	1	1	0.714285714	5.82987013	2.875980975	1.338218727	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
113.084064	101.9979886	8	2	1	0.666666667	5.633333333	2.721453287	1.234072022	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	35.25
113.1204495	98.003074	8	1	1	1	6.085628141	2.492201094	1.220642549	0	0	0	2	0	1	1	0	1	1	2	1	0	1	0	2	26.02
115.0633285	105.9929032	8	3	1	0.6	5.436986301	2.568834374	1.133044283	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	0	44.48
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	0	0	0	0	0	1	2	2	1	1	1	0	0	35.25
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	1	35.25
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	0	35.25
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	0	35.25
107.0734993	98.003074	8	1	1	0.142857143	5.319275766	2.478228729	1.073981897	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
108.079776	98.003074	9	1	1	0.142857143	4.098215458	2.478228729	1.073981897	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
151.1360995	134.003074	11	1	2	0.8	7.354540142	2.632554054	1.342185349	0	0	0	4	2	1	2	0	2	1	2	2	0	1	0	4	26.02
149.0332914	137.947216	8	3	1	1	6.775473441	2.989942377	1.569314512	0	0	0	1	0	0	0	0	1	1	2	1	1	1	0	1	26.02
125.0394359	116.9768356	8	2	1	0.166666667	5.741406045	2.806214595	1.290975311	0	1	0	1	0	0	0	1	0	1	2	1	0	0	0	1	26.02
141.109171	125.9979886	14	2	2	0.25	3.394163309	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
127.0455703	117.975145	8	2	1	0.333333333	5.918369705	2.946111312	1.386066946	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	26.02
127.0455703	117.975145	8	2	1	0.333333333	5.918369705	2.946111312	1.386066946	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	1	26.02
127.0455703	117.975145	8	2	1	0.333333333	5.918369705	2.946111312	1.386066946	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	26.02
127.1360995	110.003074	9	1	1	1	7.071607143	2.295733882	1.683432023	0	0	0	1	0	1	1	0	1	1	2	1	0	1	0	1	26.02
109.0860528	98.003074	10	1	1	0.142857143	3.253988637	2.478228729	1.073981897	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
119.0734993	110.003074	9	1	1	0	5.888865979	2.354463854	1.322927544	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
129.0789786	117.9929032	9	3	1	0.833333333	6.548623962	2.823853375	1.676856938	0	0	0	1	0	0	0	0	1	3	2	1	1	1	0	1	52.32
129.0789786	117.9929032	9	3	1	0.833333333	6.548623962	2.351355522	1.214608868	0	0	0	2	0	0	0	0	1	3	2	1	1	1	0	2	52.32
127.099714	113.9979886	9	2	1	0.714285714	6.617647059	2.028	1.244855967	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	1	35.25
121.0891494	110.003074	9	1	1	0.25	6.302249389	2.646097475	1.54134677	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
121.0891494	110.003074	9	1	1	0.25	6.302249389	2.646097475	1.54134677	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	0	26.02
131.0768704	117.975145	8	2	1	1	6.430336943	3.357969394	1.673790393	0	0	0	1	0	0	0	0	1	1	2	1	1	1	0	1	26.02
131.1110277	117.0014772	9	2	1	1	7.002485939	3.158345868	1.647410228	0	0	0	2	0	1	1	0	1	1	2	1	0	1	0	2	26.02
123.1047994	110.003074	9	1	1	0.5	6.558483412	2.831024794	1.68235904	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	0	26.02
123.1047994	110.003074	9	1	1	0.5	6.558483412	2.831024794	1.68235904	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
137.084064	125.9979886	10	2	2	0.25	7.091358575	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
133.056135	121.9700596	8	3	1	1	6.390918984	3.325906411	1.651003082	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	1	35.25
125.0640775	117.0014772	9	2	1	0.142857143	6.233304562	2.596867015	1.504122761	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
125.084064	113.9979886	9	2	1	0.428571429	6.361359223	2.688486328	1.573506415	0	0	0	1	0	0	0	0	1	2	2	1	0	0	0	1	35.25
125.1204495	110.003074	9	1	0	0.75	6.657096019	2.902990541	1.737717832	0	0	0	0	0	1	1	0	1	1	2	1	0	1	0	0	26.02
125.1204495	110.003074	9	1	1	0.75	6.657096019	2.902990541	1.737717832	0	0	0	0	0	1	1	0	1	1	2	1	0	1	0	0	26.02
125.1204495	110.003074	9	1	1	0.75	6.814942529	2.525042005	1.551075702	0	0	0	2	0	0	1	0	1	1	2	1	0	0	0	2	26.02
139.0797275	129.0014772	10	2	2	0.25	7.219769484	3.321482264	1.809938153	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
135.0449152	124.9666649	8	4	1	1	6.430336943	3.357969394	1.673790393	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	44.48
139.0966175	125.9979886	12	2	2	0.25	4.74326555	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
171.0859558	159.9998804	12	3	2	0.333333333	9.13057971	3.627228384	1.795591172	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
133.0902922	120.9963918	9	3	1	1	6.96299435	2.62309548	1.626953474	0	0	0	0	0	0	0	0	1	2	2	1	1	1	0	0	35.25
127.099714	113.9979886	9	2	1	0.714285714	6.617647059	2.87414966	1.715500945	0	0	0	2	0	0	0	0	1	2	2	1	0	0	0	2	35.25
138.0903407	125.9979886	11	2	2	0.25	5.741442725	3.224846567	1.739178486	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	1	46.25
174.9858625	168.9389123	10	4	2	0.166666667	7.723950104	3.142667966	1.562342349	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	43.09
139.0966175	125.9979886	12	2	2	0.25	4.74326555	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
122.0954261	110.003074	10	1	1	0.25	5.00399457	2.646097475	1.54134677	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
99.10479942	86.003074	7	1	0	1	5.103678161	2.31410722	1.475062751	0	0	0	0	0	1	1	0	1	1	2	1	0	1	0	0	26.02
145.0019912	137.947216	8	3	1	0.2	6.134843945	2.526962558	1.244443793	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
146.9909479	140.9439977	8	3	1	0.2	6.075786164	2.485264261	1.215903547	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
137.084064	125.9979886	10	2	1	0.25	7.091358575	2.708944457	1.481523026	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	1	46.25
137.084064	125.9979886	10	2	1	0.25	7.091358575	2.708944457	1.481523026	1	1	0	1	0	0	0	0	0	2	3	1	0	0	0	0	46.25
149.0605653	136.9666649	9	4	1	0.8	7.288932462	2.427567819	1.798454411	0	0	0	1	0	0	0	0	1	3	4	1	0	0	0	1	66.48
141.0612204	129.975145	9	2	1	0.428571429	6.775473441	2.499079817	1.531067087	0	1	0	1	0	0	0	1	0	1	2	1	0	0	0	1	26.02
147.1059423	132.9963918	10	3	2	1	7.951522843	3.302754773	1.466196798	0	0	0	0	0	0	0	0	1	2	2	1	1	1	0	0	35.25
139.099714	125.9979886	10	2	2	0.5	7.506382979	3.539427516	1.688037425	0	0	0	1	0	0	1	0	1	2	3	1	0	0	0	1	46.25
143.0946287	129.9929032	10	3	1	0.857142857	7.536044539	2.580198847	1.290264973	0	0	0	3	0	0	0	0	1	3	2	1	1	1	0	3	52.32
139.0966175	125.9979886	12	2	2	0.25	4.74326555	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
121.0891494	110.003074	9	1	1	0.375	6.341654501	2.674337261	1.562760731	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
121.0891494	110.003074	9	1	1	0.25	6.302249389	2.646097475	1.54134677	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
156.0157474	150.9766222	10	4	1	0.166666667	7.190132159	2.77551774	1.150900379	0	1	0	1	0	0	0	1	0	2	2	1	0	0	0	1	49.81
123.0684139	113.9979886	9	2	1	0.142857143	6.105313283	2.506090257	1.435851175	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
123.0684139	113.9979886	9	2	1	0.285714286	6.233304562	2.596867015	1.504122761	0	0	0	0	0	0	1	0	1	2	2	1	0	0	0	0	43.09
123.1047994	110.003074	9	1	1	0.5	6.558483412	2.831024794	1.68235904	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
123.1047994	110.003074	9	1	2	0.5	6.558483412	2.831024794	1.422754521	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
125.0640775	117.0014772	9	2	1	0.142857143	6.233304562	2.596867015	1.504122761	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
